# Table 8 Colours of selected stars from the BPGS atlas
# SDSS (ugriz), WFCAM (ZYJHK) and 2MASS (J2,H2,K2) colours on the Vega system
# Col 1: u-g
# Col 2: g-r
# Col 3: r-i
# Col 4: i-z
# Col 5: Z-z
# Col 6: Z-Y
# Col 7: Y-J
# Col 8: J-H
# Col 9: H-K
# Col 10: J-J2
# Col 11: H-H2
# Col 12: K-K2
# Col 13: Spectral type ("..." denotes no type available)
# Col 14: Sequential number of star in the BPGS atlas
# Col 15: Star name
#
 -0.456  -0.066  -0.029   0.031  -0.012  -0.069  -0.120   0.006  -0.002   0.007   0.000  -0.001  B9V      13  HD189689      
 -0.043  -0.010   0.011   0.034  -0.010  -0.027  -0.094   0.000  -0.008   0.009   0.002  -0.002  A0V      14  THETA-VIR     
 -0.133  -0.019   0.027   0.040  -0.002  -0.023  -0.084  -0.003  -0.007   0.009   0.001  -0.002  B9V      15  NU-CAP        
 -0.012  -0.002   0.005   0.000  -0.008  -0.056  -0.021   0.003  -0.007   0.003   0.001  -0.002  A2V      16  HR6169        
 -0.068  -0.002   0.017   0.036  -0.002  -0.022  -0.010  -0.008   0.001   0.006   0.001  -0.002  A1V      17  HD190849A     
 -0.006  -0.000   0.022   0.018  -0.006  -0.013  -0.044  -0.002  -0.002   0.003   0.001  -0.002  A2V      18  69-HER        
  0.019   0.049   0.033   0.047  -0.001  -0.009   0.037   0.011   0.007   0.003   0.001  -0.002  A3V      19  HD190849B     
  0.021   0.076   0.049   0.080  -0.016  -0.001  -0.050   0.007   0.007   0.009   0.001  -0.002  A0V      20  58-AQL        
  0.040   0.055   0.044   0.052  -0.009  -0.029  -0.025   0.001   0.005   0.007   0.001  -0.002  B9V      21  78-HER        
  0.117   0.097   0.052   0.016  -0.014  -0.015   0.127   0.042   0.013  -0.007   0.002  -0.002  A7V      22  HR6570        
  0.200   0.136   0.103   0.103   0.000   0.028   0.009   0.044   0.015   0.003   0.002  -0.002  A2V      23  HD187754      
  0.097   0.148   0.100   0.062  -0.003   0.012   0.083   0.057   0.017  -0.005   0.003  -0.002  A5V      24  THETA1-SER    
  0.177   0.212   0.077   0.097   0.006   0.016   0.058   0.051   0.018   0.004   0.003  -0.002  ...      25  PRAESEPE-276  
  0.119   0.219   0.116   0.084   0.011   0.054   0.023   0.064   0.019  -0.001   0.003  -0.002  ...      26  PRAESEPE-114  
  0.085   0.246   0.145   0.087   0.009   0.044   0.077   0.085   0.023  -0.007   0.003  -0.002  ...      27  PRAESEPE-154  
  0.095   0.262   0.157   0.110  -0.003   0.020   0.087   0.091   0.025  -0.005   0.004  -0.002  A5V      28  HD190192      
  0.068   0.317   0.191   0.110   0.010   0.052   0.097   0.111   0.030  -0.006   0.004  -0.003  ...      29  PRAESEPE-226  
  0.049   0.366   0.183   0.121   0.010   0.050   0.135   0.130   0.033  -0.010   0.005  -0.003  ...      30  PRAESEPE-37   
  0.120   0.376   0.215   0.107   0.001   0.035   0.143   0.131   0.034  -0.006   0.005  -0.003  F4V      31  HD191177      
 -0.008   0.467   0.224   0.150   0.010   0.074   0.151   0.169   0.041  -0.013   0.006  -0.003  ...      32  PRAESEPE-332  
  0.033   0.472   0.274   0.125   0.001   0.054   0.163   0.172   0.042  -0.011   0.006  -0.003  F6V      33  BD+29D3891    
  0.019   0.494   0.266   0.174   0.011   0.067   0.166   0.190   0.045  -0.016   0.007  -0.003  ...      34  PRAESEPE-222  
  0.040   0.582   0.298   0.196   0.007   0.150   0.066   0.194   0.049  -0.000   0.007  -0.003  F8V      35  HD35296       
  0.031   0.593   0.309   0.179   0.005   0.081   0.155   0.210   0.050  -0.011   0.007  -0.004  G0V      36  BD+26D3780    
 -0.106   0.623   0.321   0.218   0.001   0.071   0.117   0.209   0.051  -0.006   0.008  -0.004  F9V      37  HD148816      
 -0.009   0.605   0.345   0.200  -0.007   0.037   0.144   0.205   0.051  -0.003   0.008  -0.004  F8V      38  HD155675      
  0.098   0.618   0.297   0.182   0.012   0.098   0.162   0.219   0.052  -0.014   0.008  -0.004  ...      39  PRAESEPE-418  
  0.156   0.614   0.310   0.192   0.006   0.127   0.123   0.207   0.052  -0.003   0.008  -0.004  ...      40  HYAD-1        
  0.153   0.624   0.327   0.146  -0.003   0.075   0.154   0.208   0.051  -0.008   0.008  -0.004  F8V      41  HD122693      
  0.089   0.635   0.317   0.171   0.007   0.008   0.238   0.233   0.052  -0.024   0.008  -0.004  F8V      42  HD154417      
  0.199   0.672   0.313   0.201   0.007   0.126   0.167   0.233   0.056  -0.007   0.008  -0.004  ...      43  HYAD-2        
  0.204   0.666   0.342   0.213   0.002   0.076   0.191   0.238   0.057  -0.008   0.008  -0.004  G5V      44  HD227547      
  0.181   0.670   0.353   0.204  -0.007   0.038   0.204   0.239   0.057  -0.012   0.008  -0.004  G2V      45  HD154760      
  0.261   0.680   0.331   0.193   0.006   0.096   0.192   0.244   0.057  -0.013   0.008  -0.004  G2V      46  HD190605      
  0.267   0.729   0.323   0.228   0.007   0.107   0.185   0.256   0.063  -0.008   0.009  -0.003  ...      47  HYAD-15       
  0.188   0.721   0.372   0.189   0.005   0.102   0.193   0.265   0.064  -0.012   0.009  -0.002  K0V      48  HD139777A     
  0.408   0.785   0.393   0.207   0.001   0.119   0.146   0.277   0.069  -0.009   0.009  -0.002  G8V      49  HD136274      
  0.429   0.802   0.353   0.233   0.004   0.167   0.169   0.292   0.074  -0.006   0.009  -0.001  ...      50  HYAD-26       
  0.386   0.789   0.378   0.239   0.002   0.113   0.194   0.300   0.074  -0.014   0.009  -0.001  G5V      51  HD150205      
  0.580   0.849   0.377   0.262   0.006   0.164   0.223   0.331   0.083  -0.013   0.010  -0.000  ...      52  HYAD-21       
