# Table 11 Colours of Burrows et al. (2003) model T and Y cool dwarfs
# SDSS (iz), WFCAM (ZYJHK) and 2MASS (J2,H2,K2) colours on the Vega system
# Col 1: i-z
# Col 2: Z-z
# Col 3: Z-Y
# Col 4: Y-J
# Col 5: J-H
# Col 6: H-K
# Col 7: J-J2
# Col 8: H-H2
# Col 9: K-K2
# Col 10: Absolute K-band magnitude
# Col 11: Mass in units of M_Jupiter
# Col 12: log_10(age) with age in years
# Col 13: effective temperature (K)
# Col 14: surface gravity, log_10(g) with g as cm s^-2 
#
 4.215  2.247  5.829  2.464  -0.729   0.782  -0.277   0.070   0.100  23.3   1  8.0  290  3.23
 8.595  4.556  8.391  4.345   1.175   0.667  -0.323   0.077   0.103  31.3   1  8.5  216  3.27
11.662  6.062  9.928  5.510   2.278  -3.478  -0.377   0.082   0.055  43.5   1  9.0  159  3.32
 3.238  1.000  4.193  1.548  -1.018   0.194  -0.272   0.073   0.110  20.0   2  8.0  386  3.53
 4.162  2.130  5.626  2.349  -0.529  -0.117  -0.293   0.074   0.105  24.4   2  8.5  283  3.57
 8.348  4.314  8.043  4.105   1.325  -1.464  -0.347   0.080   0.109  33.8   2  9.0  208  3.60
12.773  5.796  9.630  6.817   3.962  -2.575  -0.345   0.072  -0.121  45.8   2  9.5  149  3.63
13.659  5.121  8.968  8.828   5.572  -2.164  -0.117  -0.088  -0.514  49.2   2  9.7  134  3.64
 4.782  0.612  3.530  1.264  -0.696   0.129  -0.289   0.074   0.133  16.9   5  8.0  588  3.92
 4.417  0.835  3.898  1.509  -1.134  -0.448  -0.290   0.078   0.116  19.7   5  8.5  426  3.96
 3.338  1.510  4.767  1.879  -0.414  -1.031  -0.302   0.077   0.112  23.7   5  9.0  312  3.99
 7.888  3.889  7.526  4.021   1.910  -1.984  -0.350   0.083   0.117  32.5   5  9.5  225  4.02
10.624  5.149  8.955  5.397   3.329  -1.306  -0.357   0.094   0.112  36.7   5  9.7  197  4.03
 4.661  0.443  3.062  1.288  -0.454   0.114  -0.292   0.071   0.137  15.8   7  8.0  703  4.07
 4.715  0.769  3.778  1.487  -0.833  -0.261  -0.291   0.080   0.125  18.2   7  8.5  507  4.12
 2.923  0.888  3.860  1.468  -0.592  -0.998  -0.294   0.078   0.115  21.6   7  9.0  369  4.15
 4.418  2.109  5.423  2.318   0.326  -2.213  -0.327   0.078   0.116  27.3   7  9.5  267  4.18
 5.737  2.799  6.199  2.905   0.982  -3.279  -0.345   0.078   0.119  30.8   7  9.7  234  4.19
 4.190  0.301  2.457  1.409  -0.147   0.092  -0.288   0.074   0.132  14.6  10  8.0  859  4.24
 5.044  0.646  3.501  1.398  -0.553  -0.159  -0.292   0.077   0.134  16.8  10  8.5  620  4.29
 4.491  0.787  3.733  1.638  -0.892  -0.877  -0.298   0.081   0.120  19.7  10  9.0  447  4.32
 3.621  0.690  3.364  1.035  -1.054  -2.160  -0.318   0.076   0.118  24.1  10  9.5  325  4.35
 3.848  1.730  4.914  2.042   0.297  -2.128  -0.326   0.078   0.120  26.1  10  9.7  284  4.36
 4.924  0.703  3.555  1.546  -0.539  -0.446  -0.294   0.081   0.130  17.3  15  9.0  593  4.52
 4.117  0.680  3.448  1.582  -0.854  -1.502  -0.307   0.081   0.122  21.0  15  9.5  414  4.56
 2.807  0.802  3.568  1.409  -0.197  -1.903  -0.309   0.080   0.122  22.8  15  9.7  359  4.57
 5.172  0.640  3.379  1.475  -0.390  -0.367  -0.293   0.076   0.132  16.3  20  9.0  686  4.66
 4.465  0.709  3.493  1.732  -0.661  -1.190  -0.302   0.085   0.125  19.4  20  9.5  483  4.71
 4.095  0.642  3.323  1.584  -0.752  -1.671  -0.310   0.083   0.124  21.0  20  9.7  421  4.72
 5.107  0.516  3.015  1.452  -0.269  -0.295  -0.290   0.073   0.130  15.4  25  9.0  797  4.80
 4.762  0.733  3.517  1.747  -0.517  -0.915  -0.298   0.085   0.126  18.2  25  9.5  555  4.83
 4.578  0.698  3.429  1.752  -0.624  -1.344  -0.304   0.086   0.125  19.6  25  9.7  483  4.85
